anon_ID,county,poverty,minority,age_group
551,Montgomery,No,NA,D
50,Montgomery,Yes,NA,G
391,Montgomery,No,NA,G
180,Montgomery,Yes,NA,G
56,Montgomery,Yes,NA,G
66,Montgomery,Yes,NA,D
350,Montgomery,Yes,NA,G
114,Montgomery,Yes,NA,NA
641,Montgomery,Yes,No,T
445,Montgomery,Yes,NA,NA
404,Montgomery,Yes,NA,NA
587,Montgomery,No,NA,P
196,Montgomery,No,NA,D
489,Montgomery,No,NA,G
358,Montgomery,Yes,NA,T
319,Montgomery,No,NA,T
51,Montgomery,No,NA,T
94,Montgomery,No,NA,G
523,Montgomery,No,No,T
553,Montgomery,No,NA,G
80,Montgomery,Yes,NA,T
26,Montgomery,No,NA,G
323,Montgomery,Yes,NA,NA
146,Montgomery,No,No,P
3,Montgomery,No,No,P
325,Montgomery,Yes,NA,NA
8,Montgomery,Yes,Yes,D
77,Montgomery,Yes,NA,G
432,Montgomery,Yes,NA,G
190,Montgomery,No,NA,NA
623,Montgomery,Yes,NA,NA
444,Montgomery,Yes,NA,G
282,Montgomery,No,NA,G
541,Montgomery,No,NA,NA
186,Montgomery,No,NA,D
111,Montgomery,Yes,NA,G
630,Montgomery,No,No,D
428,Montgomery,No,NA,G
341,Montgomery,Yes,No,D
122,Montgomery,No,NA,D
304,Montgomery,Yes,Yes,T
446,Montgomery,No,NA,G
418,Montgomery,Yes,NA,G
61,Montgomery,Yes,NA,G
423,Montgomery,No,No,T
339,Montgomery,No,NA,P
493,Montgomery,No,NA,T
417,Montgomery,No,NA,D
559,Montgomery,No,NA,P
451,Montgomery,Yes,NA,G
280,Montgomery,No,NA,T
532,Montgomery,No,No,D
241,Montgomery,Yes,NA,D
163,Montgomery,Yes,NA,D
396,Montgomery,Yes,NA,NA
258,Montgomery,Yes,NA,G
479,Montgomery,Yes,NA,NA
452,Montgomery,Yes,No,G
164,Montgomery,Yes,NA,NA
340,Montgomery,Yes,Yes,D
408,Montgomery,No,NA,T
63,Montgomery,Yes,NA,G
70,Montgomery,Yes,NA,G
573,Montgomery,Yes,NA,G
92,Montgomery,No,No,P
62,Montgomery,No,NA,D
549,Montgomery,Yes,NA,G
177,Montgomery,Yes,NA,G
222,Montgomery,Yes,Yes,T
395,Montgomery,Yes,NA,G
218,Montgomery,Yes,NA,G
275,Montgomery,No,NA,G
89,Montgomery,No,NA,G
27,Montgomery,No,NA,G
412,Montgomery,Yes,NA,NA
98,Montgomery,Yes,NA,G
136,Montgomery,No,NA,G
227,Montgomery,Yes,NA,G
207,Montgomery,No,NA,D
52,Montgomery,No,NA,G
486,Montgomery,No,No,D
47,Montgomery,Yes,NA,NA
362,Montgomery,Yes,NA,G
525,Montgomery,No,NA,G
393,Montgomery,No,NA,T
243,Montgomery,Yes,NA,NA
485,Montgomery,No,NA,T
600,Montgomery,No,NA,D
