anon_donor_id,zip,status,do_not_mail,do_not_call,organisation,date,amount,form,campaign,target
942,19066,Active,FALSE,FALSE,N,03/18/2019,60,Check,Sprg Evt,Gift
60,19446,Active,FALSE,FALSE,N,03/18/2019,500,Check,Sprg Evt,Gift
205,19004,Active,FALSE,FALSE,N,03/18/2019,20,Check,Sprg Evt,Gift
205,19004,Active,FALSE,FALSE,N,03/18/2019,20,Check,Emerg fund,Gift
124,19085,Active,FALSE,FALSE,N,03/19/2019,25,Check,Fall Towns,Gift
23,19301,Active,FALSE,FALSE,N,03/19/2019,250,Check,Sprg Evt,Gift
835,19072,Active,FALSE,FALSE,N,03/19/2019,250,Check,Sprg Evt,Gift
339,19096,Active,FALSE,FALSE,N,03/20/2019,25,Check,Fall Towns,Gift
781,19010,Active,FALSE,FALSE,N,03/20/2019,15,Check,Mem-hon,Gift
308,19003,Active,FALSE,FALSE,N,03/20/2019,30,Check,Fall Towns,Gift
737,19041,Active,FALSE,FALSE,N,03/20/2019,100,Check,Sprg Evt,Gift
140,19010,Active,FALSE,FALSE,N,03/21/2019,50,Check,Fall Towns,Gift
325,19096,Active,FALSE,FALSE,N,03/21/2019,25,Check,Fall Towns,Gift
224,19004,Active,FALSE,FALSE,N,03/21/2019,200,Check,Fall Towns,Gift
892,19454,Active,FALSE,FALSE,N,03/22/2019,1000,Check,Sprg Evt,Gift
173,19072,Active,FALSE,FALSE,N,03/22/2019,15,Check,Fall Towns,Gift
93,19010,Active,FALSE,FALSE,N,03/22/2019,100,Check,Fall Towns,Gift
282,19020,Active,FALSE,FALSE,N,03/22/2019,250,Check,Sprg Evt,Gift
254,19072,Active,FALSE,FALSE,N,03/23/2019,50,Check,Fall Towns,Gift
655,19035,Active,FALSE,FALSE,N,03/23/2019,250,Check,Sprg Evt,Gift
581,19312,Active,FALSE,FALSE,N,03/23/2019,25,Check,Fall Towns,Gift
696,19087,Active,FALSE,FALSE,Y,03/23/2019,100,Check,Sprg Evt,Gift
671,19003,Active,FALSE,FALSE,N,03/24/2019,25,Check,Fall Towns,Gift
983,19041,Active,FALSE,FALSE,N,03/24/2019,25,Check,Fall Towns,Gift
627,19087,Active,FALSE,FALSE,N,03/25/2019,100,Check,Sprg Evt,Gift
281,19096,Active,FALSE,FALSE,N,03/25/2019,25,Check,Fall Towns,Gift
469,19010,Active,FALSE,FALSE,N,03/25/2019,25,Check,Fall Towns,Gift
564,19096,Active,FALSE,FALSE,N,03/25/2019,100,Check,Sprg Evt,Gift
519,19010,Active,TRUE,TRUE,N,03/26/2019,25,Check,Fall Towns,Gift
337,19406,Active,FALSE,FALSE,N,03/26/2019,100,Check,CAC,Gift
810,19355,Active,FALSE,FALSE,N,03/26/2019,100,Check,Sprg Evt,Gift
471,19066,Active,FALSE,FALSE,N,03/26/2019,50,Check,Fall Towns,Gift
